"Year","Month","Keyword","Frequency"
1990,1,astrophysics,50
1987,1,astrophysics,41
1988,1,astrophysics,38
1993,4,astrophysics,34
1989,1,astrophysics,33
1992,1,astrophysics,31
1985,1,astrophysics,29
1991,1,astrophysics,29
1999,1,astrophysics,27
1982,1,astrophysics,26
1983,1,astrophysics,26
1989,12,astrophysics,24
1992,4,astrophysics,24
1999,5,astrophysics,24
1992,7,astrophysics,22
1993,8,astrophysics,22
1999,10,astrophysics,22
1998,8,astrophysics,21
1984,1,astrophysics,20
1990,12,astrophysics,20
1998,7,astrophysics,20
1999,11,astrophysics,20
1991,10,astrophysics,19
1991,12,astrophysics,19
1993,1,astrophysics,19
1993,9,astrophysics,19
1997,10,astrophysics,19
1997,5,astrophysics,19
1997,7,astrophysics,19
1998,4,astrophysics,19
1999,6,astrophysics,19
1982,1,astronomy,18
1986,1,astrophysics,18
1988,6,astrophysics,18
1990,7,astrophysics,18
1990,8,astrophysics,18
1991,3,astrophysics,18
1991,8,astrophysics,18
1992,11,astrophysics,18
1992,9,astrophysics,18
1994,4,astrophysics,18
1994,7,astrophysics,18
1998,12,astrophysics,18
1998,2,astrophysics,18
1988,7,astrophysics,17
1989,9,astrophysics,17
1993,6,astrophysics,17
1997,11,astrophysics,17
1997,1,astrophysics,17
1997,2,astrophysics,17
1999,7,astrophysics,17
1999,8,astrophysics,17
1988,3,astrophysics,16
1988,6,iue,16
1988,6,spaceborne astronomy,16
1988,6,ultraviolet astronomy,16
1989,3,astrophysics,16
1989,7,astrophysics,16
1991,2,astrophysics,16
1992,12,astrophysics,16
1992,3,astrophysics,16
1992,8,astrophysics,16
1999,2,astrophysics,16
1999,9,astrophysics,16
1979,11,astrophysics,15
1979,1,astrophysics,15
1986,9,astrophysics,15
1988,11,astrophysics,15
1988,12,astrophysics,15
1988,6,ultraviolet spectra,15
1989,11,astronomy,15
1989,11,astrophysics,15
1990,9,astrophysics,15
1992,2,astrophysics,15
1993,2,astrophysics,15
1994,12,astronomy,15
1994,6,astrophysics,15
1995,1,astronomy,15
1995,1,astrophysics,15
1995,3,astronomy,15
1998,5,astrophysics,15
1999,12,astrophysics,15
1999,4,astrophysics,15
1981,1,astrophysics,14
1984,4,astrophysics,14
1984,6,astrophysics,14
1988,6,astronomy,14
1989,5,astrophysics,14
1989,6,astrophysics,14
1990,10,astrophysics,14
1990,6,astrophysics,14
1991,6,astrophysics,14
1992,5,astrophysics,14
1993,5,astrophysics,14
1996,12,astrophysics,14
1996,8,astrophysics,14
1986,12,astrophysics,13
1988,10,astrophysics,13
1989,10,astrophysics,13
1990,5,astrophysics,13
1991,5,astrophysics,13
1991,7,astrophysics,13
1991,9,astrophysics,13
1992,10,astrophysics,13
1993,10,astrophysics,13
1994,3,astrophysics,13
1994,6,astronomy,13
1994,8,astrophysics,13
1997,3,astrophysics,13
1998,11,astrophysics,13
1979,11,x ray sources,12
1982,1,x ray astronomy,12
1983,1,x ray sources,12
1983,4,astrophysics,12
1985,3,comets,12
1988,8,astrophysics,12
1989,4,astrophysics,12
1990,11,astrophysics,12
1990,3,astrophysics,12
1992,6,astrophysics,12
1993,1,x ray astrophysics facility,12
1993,3,astrophysics,12
1994,11,astronomy,12
1994,2,astronomy,12
1994,2,astrophysics,12
1997,12,astrophysics,12
1997,4,astrophysics,12
1999,3,astrophysics,12
1980,1,astrophysics,11
1980,6,astrophysics,11
1981,11,astrophysics,11
1981,1,x ray sources,11
1984,8,astrophysics,11
1986,6,astrophysics,11
1987,1,astronomy,11
1990,1,line spectra,11
1990,1,x ray sources,11
1991,4,astrophysics,11
1993,12,astrophysics,11
1993,1,optics,11
1994,5,astronomy,11
1994,9,astronomy,11
1996,7,astrophysics,11
1997,6,astrophysics,11
1997,9,astrophysics,11
1998,6,astrophysics,11
1976,1,astrophysics,10
1983,1,supernova remnants,10
1985,7,astrophysics,10
1987,11,astrophysics,10
1988,1,emission spectra,10
1988,2,astrophysics,10
1988,4,mirrors,10
1988,5,astrophysics,10
1989,2,astrophysics,10
1990,1,x ray astronomy,10
1990,2,astrophysics,10
1993,1,test facilities,10
1993,7,astrophysics,10
1994,5,astrophysics,10
1995,2,astrophysics,10
1997,5,95.85.pw,10
1997,5,gamma-ray,10
1998,10,astrophysics,10
1999,1,sun corona,10
1976,1,astronomy,9
1981,1,astronomy,9
1982,1,spaceborne astronomy,9
1983,6,astrophysics,9
1985,12,astrophysics,9
1985,1,astronomy,9
1985,9,x ray astronomy,9
1986,10,astrophysics,9
1986,11,astrophysics,9
1986,1,astronomy,9
1987,10,astrophysics,9
1987,1,galactic structure,9
1987,1,stellar luminosity,9
1987,5,astrophysics,9
1988,1,conferences,9
1988,4,astrophysics,9
1988,9,astrophysics,9
1990,4,astrophysics,9
1991,1,star formation,9
1991,1,stellar evolution,9
1993,1,paraboloid mirrors,9
1994,10,astrophysics,9
1994,12,astrophysics,9
1994,2,x ray astronomy,9
1995,4,astronomy,9
1995,4,astrophysics,9
1997,3,x-rays: galaxies,9
1997,5,95.85.nv,9
1997,5,x-ray,9
1997,8,astrophysics,9
1977,1,astrophysics,8
1978,1,astrophysics,8
1978,8,x ray sources,8
1979,1,astronomy,8
1979,1,line spectra,8
1979,1,x ray astronomy,8
1981,11,x ray sources,8
1982,1,iue,8
1983,1,astronomical spectroscopy,8
1983,1,x ray astronomy,8
1984,2,astrophysics,8
1984,3,astrophysics,8
1985,11,astrophysics,8
1985,1,x ray astronomy,8
1985,3,data,8
1985,3,ephemerides,8
1985,3,procedure,8
1985,9,astronomy,8
1985,9,spectrometers,8
1986,12,comet nuclei,8
1986,7,astrophysics,8
1987,1,astronomical spectroscopy,8
1987,4,astrophysics,8
1987,6,astrophysics,8
1988,1,x ray astronomy,8
1988,6,line spectra,8
1988,8,astronomy,8
1989,11,imaging techniques,8
1989,11,x ray spectra,8
1989,8,astrophysics,8
1990,12,interstellar matter,8
1990,1,astronomy,8
1990,1,emission spectra,8
1990,1,galactic clusters,8
1990,1,stellar evolution,8
1991,11,astrophysics,8
1991,1,astronomy,8
1992,10,optics,8
1993,4,spaceborne astronomy,8
1993,4,x ray astronomy,8
1993,4,x ray telescopes,8
1994,10,astronomy,8
1994,11,stellar luminosity,8
1995,5,astronomy,8
1995,8,astrophysics,8
1996,10,astrophysics,8
1996,11,astrophysics,8
1996,12,x-rays: stars,8
1996,1,astrophysics,8
1996,2,astrophysics,8
1996,4,astrophysics,8
1996,6,astrophysics,8
1997,5,97.60.lf,8
1997,5,black holes,8
1997,7,x-rays: galaxies,8
1998,3,astrophysics,8
1998,9,astrophysics,8
1999,6,96.60.pb,8
1976,10,x ray sources,7
1976,1,solar physics,7
1976,1,x ray sources,7
1976,7,astrophysics,7
1977,1,astronomy,7
1978,8,astrophysics,7
1979,1,x ray sources,7
1980,10,astrophysics,7
1980,1,x ray astronomy,7
1980,7,astrophysics,7
1981,2,astrophysics,7
1981,2,x ray sources,7
1981,3,astronomy,7
1981,3,x ray astronomy,7
1982,11,astrophysics,7
1982,1,ultraviolet astronomy,7
1983,1,astronomy,7
1983,3,x ray sources,7
1983,4,x ray sources,7
1984,10,astrophysics,7
1984,12,astronomy,7
1984,12,astrophysics,7
1984,1,astronomy,7
1985,10,astrophysics,7
1985,3,astronomy,7
1985,5,astrophysics,7
1985,8,space radiation,7
1985,9,astrophysics,7
1986,12,giotto mission,7
1986,3,astrophysics,7
1986,4,astrophysics,7
